Ya_ grubu ve cinsiyete gšre intiharlar, 2002-2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Suicides by age group and sex, 2002-2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;Toplam;;;Ya_ grubu-Age group;;;;;;;;;;;;;;;;;;;;;;;;Ya_ grubu-Age group;;;;;;;;;;;;;;;;;;Bilinmeyen;;
;;Total;;;<15;;;15-19;;;20-24;;;25-29;;;30-34;;;35-39;;;40-44;;;45-49;;;50-54;;;55-59;;;60-64;;;65-69;;;70-74;;; 75+;;;Unknown;;
Yõl;Cinsiyet;Sayõ;;;Sayõ;;;Sayõ;;;Sayõ;;;Sayõ;;;Sayõ;;;Sayõ;;;Sayõ;;;Sayõ;;;Sayõ;;;Sayõ;;;Sayõ;;;Sayõ;;;Sayõ;;;Sayõ;;;Sayõ;;
Year;Sex;Number;(%);;Number;(%);;Number;(%);;Number;(%);;Number;(%);;Number;(%);;Number;(%);;Number;(%);;Number;(%);;Number;(%);;Number;(%);;Number;(%);;Number;(%);;Number;(%);;Number;(%);;Number;(%);
;Kadõn-Female;  910;100,0;;  53;5,8;;  173;19,0;;  124;13,6;;  79;8,7;;  84;9,2;;  76;8,4;;  64;7,0;;  40;4,4;;  45;4,9;;  29;3,2;;  29;3,2;;  29;3,2;;  28;3,1;;  54;5,9;;  3;0,3;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2011;Toplam-Total; 2 677;100,0;;  103;3,8;;  354;13,2;;  266;9,9;;  280;10,5;;  276;10,3;;  202;7,5;;  231;8,6;;  202;7,5;;  190;7,1;;  153;5,7;;  93;3,5;;  74;2,8;;  78;2,9;;  157;5,9;;  18;0,7;
;Erkek-Male; 1 876;100,0;;  45;2,4;;  175;9,3;;  176;9,4;;  184;9,8;;  203;10,8;;  147;7,8;;  190;10,1;;  156;8,3;;  159;8,5;;  118;6,3;;  69;3,7;;  60;3,2;;  63;3,4;;  117;6,2;;  14;0,7;
;Kadõn-Female;  801;100,0;;  58;7,2;;  179;22,3;;  90;11,2;;  96;12,0;;  73;9,1;;  55;6,9;;  41;5,1;;  46;5,7;;  31;3,9;;  35;4,4;;  24;3,0;;  14;1,7;;  15;1,9;;  40;5,0;;  4;0,5;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2010;Toplam-Total; 2 933;100,0;;  107;3,6;;  381;13,0;;  311;10,6;;  331;11,3;;  288;9,8;;  251;8,6;;  227;7,7;;  214;7,3;;  203;6,9;;  151;5,1;;  119;4,1;;  89;3,0;;  69;2,4;;  163;5,6;;  29;1,0;
;Erkek-Male; 2 073;100,0;;  48;2,3;;  202;9,7;;  205;9,9;;  228;11,0;;  211;10,2;;  191;9,2;;  182;8,8;;  171;8,2;;  171;8,2;;  115;5,5;;  87;4,2;;  70;3,4;;  50;2,4;;  119;5,7;;  23;1,1;
;Kadõn-Female;  860;100,0;;  59;6,9;;  179;20,8;;  106;12,3;;  103;12,0;;  77;9,0;;  60;7,0;;  45;5,2;;  43;5,0;;  32;3,7;;  36;4,2;;  32;3,7;;  19;2,2;;  19;2,2;;  44;5,1;;  6;0,7;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2009;Toplam-Total; 2 898;100,0;;  95;3,3;;  331;11,4;;  272;9,4;;  326;11,2;;  263;9,1;;  251;8,7;;  229;7,9;;  256;8,8;;  219;7,6;;  190;6,6;;  113;3,9;;  99;3,4;;  81;2,8;;  159;5,5;;  14;0,5;
;Erkek-Male; 2 111;100,0;;  49;2,3;;  175;8,3;;  177;8,4;;  237;11,2;;  198;9,4;;  207;9,8;;  183;8,7;;  201;9,5;;  182;8,6;;  148;7,0;;  87;4,1;;  75;3,6;;  59;2,8;;  122;5,8;;  11;0,5;
;Kadõn-Female;  787;100,0;;  46;5,8;;  156;19,8;;  95;12,1;;  89;11,3;;  65;8,3;;  44;5,6;;  46;5,8;;  55;7,0;;  37;4,7;;  42;5,3;;  26;3,3;;  24;3,0;;  22;2,8;;  37;4,7;;  3;0,4;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2008;Toplam-Total; 2 816;100,0;;  76;2,7;;  375;13,3;;  346;12,3;;  296;10,5;;  248;8,8;;  226;8,0;;  218;7,7;;  192;6,8;;  162;5,8;;  119;4,2;;  100;3,6;;  91;3,2;;  87;3,1;;  147;5,2;;  133;4,7;
;Erkek-Male; 1 924;100,0;;  28;1,5;;  182;9,5;;  206;10,7;;  186;9,7;;  169;8,8;;  168;8,7;;  167;8,7;;  156;8,1;;  132;6,9;;  98;5,1;;  81;4,2;;  76;4,0;;  72;3,7;;  114;5,9;;  89;4,6;
;Kadõn-Female;  892;100,0;;  48;5,4;;  193;21,6;;  140;15,7;;  110;12,3;;  79;8,9;;  58;6,5;;  51;5,7;;  36;4,0;;  30;3,4;;  21;2,4;;  19;2,1;;  15;1,7;;  15;1,7;;  33;3,7;;  44;4,9;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2007;Toplam-Total; 2 793;100,0;;  92;3,3;;  358;12,8;;  332;11,9;;  367;13,1;;  237;8,5;;  208;7,4;;  205;7,3;;  191;6,8;;  156;5,6;;  113;4,0;;  86;3,1;;  79;2,8;;  60;2,1;;  129;4,6;;  180;6,4;
;Erkek-Male; 1 808;100,0;;  34;1,9;;  171;9,5;;  181;10,0;;  235;13,0;;  173;9,6;;  149;8,2;;  165;9,1;;  142;7,9;;  115;6,4;;  86;4,8;;  59;3,3;;  58;3,2;;  39;2,2;;  92;5,1;;  109;6,0;
;Kadõn-Female;  985;100,0;;  58;5,9;;  187;19,0;;  151;15,3;;  132;13,4;;  64;6,5;;  59;6,0;;  40;4,1;;  49;5,0;;  41;4,2;;  27;2,7;;  27;2,7;;  21;2,1;;  21;2,1;;  37;3,8;;  71;7,2;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2006;Toplam-Total; 2 829;100,0;;  77;2,7;;  394;13,9;;  384;13,6;;  329;11,6;;  247;8,7;;  201;7,1;;  214;7,6;;  174;6,2;;  169;6,0;;  128;4,5;;  86;3,0;;  74;2,6;;  54;1,9;;  119;4,2;;  179;6,3;
;Erkek-Male; 1 782;100,0;;  38;2,1;;  162;9,1;;  208;11,7;;  202;11,3;;  171;9,6;;  142;8,0;;  156;8,8;;  137;7,7;;  130;7,3;;  95;5,3;;  57;3,2;;  55;3,1;;  40;2,2;;  82;4,6;;  107;6,0;
;Kadõn-Female; 1 047;100,0;;  39;3,7;;  232;22,2;;  176;16,8;;  127;12,1;;  76;7,3;;  59;5,6;;  58;5,5;;  37;3,5;;  39;3,7;;  33;3,2;;  29;2,8;;  19;1,8;;  14;1,3;;  37;3,5;;  72;6,9;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2005;Toplam-Total; 2 703;100,0;;  74;2,7;;  358;13,2;;  401;14,8;;  324;12,0;;  246;9,1;;  178;6,6;;  180;6,7;;  194;7,2;;  142;5,3;;  110;4,1;;  90;3,3;;  81;3,0;;  57;2,1;;  109;4,0;;  159;5,9;
;Erkek-Male; 1 740;100,0;;  36;2,1;;  173;9,9;;  212;12,2;;  196;11,3;;  171;9,8;;  122;7,0;;  141;8,1;;  151;8,7;;  110;6,3;;  75;4,3;;  67;3,9;;  62;3,6;;  46;2,6;;  78;4,5;;  100;5,7;
;Kadõn-Female;  963;100,0;;  38;3,9;;  185;19,2;;  189;19,6;;  128;13,3;;  75;7,8;;  56;5,8;;  39;4,0;;  43;4,5;;  32;3,3;;  35;3,6;;  23;2,4;;  19;2,0;;  11;1,1;;  31;3,2;;  59;6,1;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2004;Toplam-Total; 2 707;100,0;;  78;2,9;;  425;15,7;;  425;15,7;;  301;11,1;;  247;9,1;;  212;7,8;;  179;6,6;;  139;5,1;;  153;5,7;;  99;3,7;;  82;3,0;;  51;1,9;;  75;2,8;;  98;3,6;;  143;5,3;
;Erkek-Male; 1 681;100,0;;  36;2,1;;  206;12,3;;  216;12,8;;  186;11,1;;  167;9,9;;  144;8,6;;  126;7,5;;  104;6,2;;  114;6,8;;  68;4,0;;  64;3,8;;  28;1,7;;  58;3,5;;  74;4,4;;  90;5,4;
;Kadõn-Female; 1 026;100,0;;  42;4,1;;  219;21,3;;  209;20,4;;  115;11,2;;  80;7,8;;  68;6,6;;  53;5,2;;  35;3,4;;  39;3,8;;  31;3,0;;  18;1,8;;  23;2,2;;  17;1,7;;  24;2,3;;  53;5,2;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2003;Toplam-Total; 2 705;100,0;;  80;3,0;;  460;17,0;;  462;17,1;;  333;12,3;;  241;8,9;;  215;7,9;;  167;6,2;;  184;6,8;;  117;4,3;;  107;4,0;;  84;3,1;;  76;2,8;;  77;2,8;;  102;3,8;;-;-;
;Erkek-Male; 1 574;100,0;;  32;2,0;;  189;12,0;;  227;14,4;;  190;12,1;;  143;9,1;;  145;9,2;;  125;7,9;;  129;8,2;;  90;5,7;;  77;4,9;;  56;3,6;;  58;3,7;;  44;2,8;;  69;4,4;;-;-;
;Kadõn-Female; 1 131;100,0;;  48;4,2;;  271;24,0;;  235;20,8;;  143;12,6;;  98;8,7;;  70;6,2;;  42;3,7;;  55;4,9;;  27;2,4;;  30;2,7;;  28;2,5;;  18;1,6;;  33;2,9;;  33;2,9;;-;-;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2002;Toplam-Total; 2 301;100,0;;  73;3,2;;  354;15,4;;  392;17,0;;  313;13,6;;  216;9,4;;  196;8,5;;  183;8,0;;  153;6,6;;  122;5,3;;  68;3,0;;  70;3,0;;  55;2,4;;  46;2,0;;  60;2,6;;-;-;
;Erkek-Male; 1 392;100,0;;  30;2,2;;  154;11,1;;  178;12,8;;  185;13,3;;  143;10,3;;  139;10,0;;  135;9,7;;  118;8,5;;  87;6,3;;  55;4,0;;  52;3,7;;  43;3,1;;  31;2,2;;  42;3,0;;-;-;
;Kadõn-Female;  909;100,0;;  43;4,7;;  200;22,0;;  214;23,5;;  128;14,1;;  73;8,0;;  57;6,3;;  48;5,3;;  35;3,9;;  35;3,9;;  13;1,4;;  18;2,0;;  12;1,3;;  15;1,7;;  18;2,0;;-;-;
